"reaction","temp","Output"
"NC1=CC=CC=C1C*FC1=CC=CC=C1Br*Fc1c(Nc2c(C)cccc2)cccc1","",5.675575354
"NC1=CC=CC=C1C*N#CC1=CC=C(Br)C=C1*N#Cc1ccc(Nc2c(C)cccc2)cc1","",1.527780721
"NC1=CC=CC(C)=C1*FC1=CC=CC=C1Br*Fc1c(Nc2cc(C)ccc2)cccc1","",4.881618182
"NC1=CC=CC(C)=C1*COC1=CC(Br)=CC=C1*O(C)c1cc(Nc2cc(C)ccc2)ccc1","",4.608131366
"NC1=CC=C(C)C=C1*OCC1=CC=CC(Br)=C1*OCc1cc(Nc2ccc(C)cc2)ccc1","",3.442120546
"OC1=CC=CC=C1N*FC1=CC=CC=C1Br*Fc1c(Nc2c(O)cccc2)cccc1","",0.17219765
"NC1=CC=CC=C1F*CC1=CC=C(Br)C=C1*Fc1c(Nc2ccc(C)cc2)cccc1","",5.579657194
"NC1=CC=C(F)C=C1*CC1=CC=C(Br)C=C1C*Fc1ccc(Nc2cc(C)c(C)cc2)cc1","",3.966720374
"NC1=CC=CC=C1C#C*CC1=CC=C(Br)C=C1C*N(c1c(C#C)cccc1)c1cc(C)c(C)cc1","",0.249231365
"NC1=C(C)C=CC=C1C*OCC1=CC=CC(Br)=C1*OCc1cc(Nc2c(C)cccc2C)ccc1","",0.739572902
"NC1=CC=C(OC)C=C1*CC1=CC=C(Br)C=C1C*O(C)c1ccc(Nc2cc(C)c(C)cc2)cc1","",3.863646606
"NC1=CC=CC=C1OC*CC1=CC=C(Br)C=C1*O(C)c1c(Nc2ccc(C)cc2)cccc1","",12.67748053
"NC1=CC=CC=C1OC*CC1=CC=C(Br)C=C1C*O(C)c1c(Nc2cc(C)c(C)cc2)cccc1","",5.60084635
"NC1=CC(C(C)=O)=CC=C1*CC1=CC=C(Br)C=C1*O=C(C)c1cc(Nc2ccc(C)cc2)ccc1","",12.08616417
"NC1=CC(C(C)=O)=CC=C1*CC1=CC=C(Br)C=C1C*O=C(C)c1cc(Nc2cc(C)c(C)cc2)ccc1","",24.60820933
"CC(C1=CC=CC=C1N)=O*FC1=CC(Br)=CC=C1*Fc1cc(Nc2c(C(=O)C)cccc2)ccc1","",6.0367792
"CC(C1=CC=C(N)C=C1)=O*CC1=CC=C(Br)C=C1*O=C(C)c1ccc(Nc2ccc(C)cc2)cc1","",5.676529412
"CC(C1=CC=C(N)C=C1)=O*N#CC1=CC=C(Br)C=C1*O=C(C)c1ccc(Nc2ccc(C#N)cc2)cc1","",5.539092114
"CC(C1=CC=C(N)C=C1)=O*OCC1=CC=CC(Br)=C1*O=C(C)c1ccc(Nc2cc(CO)ccc2)cc1","",5.158304157
"NC1=CC=C([N+]([O-])=O)C=C1*CC1=CC=C(Br)C=C1*O=[N+]([O-])c1ccc(Nc2ccc(C)cc2)cc1","",13.65838876
"NC1=CC=C([N+]([O-])=O)C=C1*CC1=CC=C(Br)C=C1C*O=[N+]([O-])c1ccc(Nc2cc(C)c(C)cc2)cc1","",7.81478558
"NC1=CC=C([N+]([O-])=O)C=C1*COC1=CC(Br)=CC=C1*O=[N+]([O-])c1ccc(Nc2cc(OC)ccc2)cc1","",10.48015379
"NC1=CC=C([N+]([O-])=O)C=C1*OCC1=CC=CC(Br)=C1*O=[N+]([O-])c1ccc(Nc2cc(CO)ccc2)cc1","",7.282507146
"N#CC1=CC=CC(OC)=C1N*FC1=CC(Br)=CC=C1*Fc1cc(Nc2c(OC)cccc2C#N)ccc1","",6.73455204
"NC1=CC=C(C(C)(C)C)C=C1*FC1=CC=CC=C1Br*Fc1c(Nc2ccc(C(C)(C)C)cc2)cccc1","",9.334084311
"NC1=CC=C(C(C)(C)C)C=C1*N#CC1=CC=C(Br)C=C1*N#Cc1ccc(Nc2ccc(C(C)(C)C)cc2)cc1","",1.605168635
"NC1=CC=CC=C1C(F)(F)F*CC1=CC=C(Br)C=C1C*FC(F)(F)c1c(Nc2cc(C)c(C)cc2)cccc1","",2.687294648
"NC1=CC=CC=C1C(F)(F)F*OCC1=CC=CC(Br)=C1*FC(F)(F)c1c(Nc2cc(CO)ccc2)cccc1","",1.686427199
"FC(F)(F)C1=CC=C(N)C=C1*N#CC1=CC=C(Br)C=C1*FC(F)(F)c1ccc(Nc2ccc(C#N)cc2)cc1","",2.106127859
"O=C(O)C1=CC=C(OC)C(N)=C1*N#CC1=CC=C(Br)C=C1*O=C(O)c1cc(Nc2ccc(C#N)cc2)c(OC)cc1","",7.79503737
"O=C(O)C1=CC=C(OC)C(N)=C1*COC1=CC(Br)=CC=C1*O=C(O)c1cc(Nc2cc(OC)ccc2)c(OC)cc1","",8.05664013
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*CC1=CC=C(Br)C=C1*O=[N+]([O-])c1c(Nc2ccc(C)cc2)cc(C(=O)O)cc1","",15.32029234
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*COC1=CC(Br)=CC=C1*O=[N+]([O-])c1c(Nc2cc(OC)ccc2)cc(C(=O)O)cc1","",7.738367366
